DATE,BOGMBASE
1959-01-01,50463
1959-02-01,49805
1959-03-01,49733
1959-04-01,50058
1959-05-01,50112
1959-06-01,50337
1959-07-01,50802
1959-08-01,50661
1959-09-01,50722
1959-10-01,50660
1959-11-01,50877
1959-12-01,51504
1960-01-01,50661
1960-02-01,49609
1960-03-01,49482
1960-04-01,49656
1960-05-01,49734
1960-06-01,50015
1960-07-01,50455
1960-08-01,50279
1960-09-01,49920
1960-10-01,50130
1960-11-01,50251
1960-12-01,49763
1961-01-01,49103
1961-02-01,48441
1961-03-01,48362
1961-04-01,48455
1961-05-01,48494
1961-06-01,48875
1961-07-01,49216
1961-08-01,49334
1961-09-01,49599
1961-10-01,50032
1961-11-01,50484
1961-12-01,51281
1962-01-01,50603
1962-02-01,49841
1962-03-01,50024
1962-04-01,50365
1962-05-01,50543
1962-06-01,50908
1962-07-01,51314
1962-08-01,51175
1962-09-01,51322
1962-10-01,51552
1962-11-01,51344
1962-12-01,52257
1963-01-01,51635
1963-02-01,51013
1963-03-01,51206
1963-04-01,51489
1963-05-01,51702
1963-06-01,52195
1963-07-01,52768
1963-08-01,52600
1963-09-01,52910
1963-10-01,53117
1963-11-01,53775
1963-12-01,54913
1964-01-01,54238
1964-02-01,53472
1964-03-01,53830
1964-04-01,54052
1964-05-01,54273
1964-06-01,54940
1964-07-01,55426
1964-08-01,55427
1964-09-01,55887
1964-10-01,56162
1964-11-01,56786
1964-12-01,57737
1965-01-01,57138
1965-02-01,56508
1965-03-01,56696
1965-04-01,57089
1965-05-01,57165
1965-06-01,57761
1965-07-01,58407
1965-08-01,58192
1965-09-01,58574
1965-10-01,59137
1965-11-01,59614
1965-12-01,61022
1966-01-01,60520
1966-02-01,59751
1966-03-01,59933
1966-04-01,60510
1966-05-01,60631
1966-06-01,61102
1966-07-01,62064
1966-08-01,61734
1966-09-01,62359
1966-10-01,62603
1966-11-01,62993
1966-12-01,64185
1967-01-01,63850
1967-02-01,63282
1967-03-01,63166
1967-04-01,63274
1967-05-01,63382
1967-06-01,64005
1967-07-01,64821
1967-08-01,64699
1967-09-01,65225
1967-10-01,65894
1967-11-01,66453
1967-12-01,67818
1968-01-01,67698
1968-02-01,67213
1968-03-01,67521
1968-04-01,67953
1968-05-01,68077
1968-06-01,68874
1968-07-01,69700
1968-08-01,69887
1968-09-01,70048
1968-10-01,70830
1968-11-01,71727
1968-12-01,73139
1969-01-01,72865
1969-02-01,71978
1969-03-01,71768
1969-04-01,72361
1969-05-01,73358
1969-06-01,73509
1969-07-01,73725
1969-08-01,73773
1969-09-01,73780
1969-10-01,74436
1969-11-01,75569
1969-12-01,76752
1970-01-01,76398
1970-02-01,75237
1970-03-01,75276
1970-04-01,76294
1970-05-01,76649
1970-06-01,76900
1970-07-01,77960
1970-08-01,78227
1970-09-01,78684
1970-10-01,78691
1970-11-01,79468
1970-12-01,80987
1971-01-01,81170
1971-02-01,80565
1971-03-01,80788
1971-04-01,81641
1971-05-01,82405
1971-06-01,82894
1971-07-01,84184
1971-08-01,84079
1971-09-01,84431
1971-10-01,84692
1971-11-01,85491
1971-12-01,86798
1972-01-01,87220
1972-02-01,86081
1972-03-01,86656
1972-04-01,87888
1972-05-01,88543
1972-06-01,88896
1972-07-01,90075
1972-08-01,90098
1972-09-01,90193
1972-10-01,91423
1972-11-01,90531
1972-12-01,91381
1973-01-01,91688
1973-02-01,90275
1973-03-01,91118
1973-04-01,92586
1973-05-01,93118
1973-06-01,93732
1973-07-01,95575
1973-08-01,95828
1973-09-01,96226
1973-10-01,97484
1973-11-01,98343
1973-12-01,100143
1974-01-01,100376
1974-02-01,99063
1974-03-01,99604
1974-04-01,101743
1974-05-01,102777
1974-06-01,103597
1974-07-01,105054
1974-08-01,105046
1974-09-01,105292
1974-10-01,105704
1974-11-01,106933
1974-12-01,108640
1975-01-01,107745
1975-02-01,105511
1975-03-01,105693
1975-04-01,106816
1975-05-01,106989
1975-06-01,108423
1975-07-01,109501
1975-08-01,109092
1975-09-01,109203
1975-10-01,109675
1975-11-01,111096
1975-12-01,113125
1976-01-01,111925
1976-02-01,110558
1976-03-01,111255
1976-04-01,113093
1976-05-01,113566
1976-06-01,114411
1976-07-01,115579
1976-08-01,115533
1976-09-01,115573
1976-10-01,116554
1976-11-01,118343
1976-12-01,120337
1977-01-01,119677
1977-02-01,117818
1977-03-01,118719
1977-04-01,120646
1977-05-01,120979
1977-06-01,121804
1977-07-01,124091
1977-08-01,124180
1977-09-01,124425
1977-10-01,125749
1977-11-01,127607
1977-12-01,129915
1978-01-01,130211
1978-02-01,128671
1978-03-01,129110
1978-04-01,131177
1978-05-01,132255
1978-06-01,133606
1978-07-01,135708
1978-08-01,135209
1978-09-01,136211
1978-10-01,137572
1978-11-01,140734
1978-12-01,144721
1979-01-01,144328
1979-02-01,141606
1979-03-01,142293
1979-04-01,144410
1979-05-01,144494
1979-06-01,145889
1979-07-01,148136
1979-08-01,148568
1979-09-01,149585
1979-10-01,151533
1979-11-01,153809
1979-12-01,156653
1980-01-01,155995
1980-02-01,153896
1980-03-01,155032
1980-04-01,157858
1980-05-01,157915
1980-06-01,158922
1980-07-01,159940
1980-08-01,158388
1980-09-01,159391
1980-10-01,160925
1980-11-01,162049
1980-12-01,163376
1981-01-01,161080
1981-02-01,158982
1981-03-01,159765
1981-04-01,162371
1981-05-01,163200
1981-06-01,163929
1981-07-01,166041
1981-08-01,166116
1981-09-01,164686
1981-10-01,164972
1981-11-01,167230
1981-12-01,170681
1982-01-01,169811
1982-02-01,167490
1982-03-01,166219
1982-04-01,168703
1982-05-01,170045
1982-06-01,171679
1982-07-01,173381
1982-08-01,173975
1982-09-01,173383
1982-10-01,174957
1982-11-01,177469
1982-12-01,180717
1983-01-01,178899
1983-02-01,177044
1983-03-01,177320
1983-04-01,180038
1983-05-01,181386
1983-06-01,183320
1983-07-01,185279
1983-08-01,185438
1983-09-01,184936
1983-10-01,186416
1983-11-01,189064
1983-12-01,192191
1984-01-01,191350
1984-02-01,186839
1984-03-01,189122
1984-04-01,192249
1984-05-01,192820
1984-06-01,195695
1984-07-01,197492
1984-08-01,196735
1984-09-01,197898
1984-10-01,198076
1984-11-01,200592
1984-12-01,204812
1985-01-01,203177
1985-02-01,200224
1985-03-01,202719
1985-04-01,205511
1985-05-01,206691
1985-06-01,210250
1985-07-01,212277
1985-08-01,212802
1985-09-01,214674
1985-10-01,216000
1985-11-01,219498
1985-12-01,224722
1986-01-01,221697
1986-02-01,217759
1986-03-01,221355
1986-04-01,225063
1986-05-01,226423
1986-06-01,230141
1986-07-01,232992
1986-08-01,233236
1986-09-01,235110
1986-10-01,237005
1986-11-01,241953
1986-12-01,248625
1987-01-01,246971
1987-02-01,242453
1987-03-01,244774
1987-04-01,249579
1987-05-01,250593
1987-06-01,252859
1987-07-01,254802
1987-08-01,254559
1987-09-01,256258
1987-10-01,258112
1987-11-01,262358
1987-12-01,266878
1988-01-01,266252
1988-02-01,260724
1988-03-01,263388
1988-04-01,268448
1988-05-01,268823
1988-06-01,273081
1988-07-01,275836
1988-08-01,274808
1988-09-01,275231
1988-10-01,275440
1988-11-01,279159
1988-12-01,283789
1989-01-01,282165
1989-02-01,275271
1989-03-01,278788
1989-04-01,281630
1989-05-01,280583
1989-06-01,283671
1989-07-01,285701
1989-08-01,283854
1989-09-01,284036
1989-10-01,284238
1989-11-01,287814
1989-12-01,294323
1990-01-01,293132
1990-02-01,287719
1990-03-01,292402
1990-04-01,297404
1990-05-01,297279
1990-06-01,301742
1990-07-01,303888
1990-08-01,305147
1990-09-01,308033
1990-10-01,308764
1990-11-01,313670
1990-12-01,315270
1991-01-01,309597
1991-02-01,306945
1991-03-01,311089
1991-04-01,314068
1991-05-01,314339
1991-06-01,318071
1991-07-01,319987
1991-08-01,320051
1991-09-01,321825
1991-10-01,323057
1991-11-01,328415
1991-12-01,335415
1992-01-01,333149
1992-02-01,331242
1992-03-01,335595
1992-04-01,333124
1992-05-01,334541
1992-06-01,337098
1992-07-01,340424
1992-08-01,342727
1992-09-01,346903
1992-10-01,349808
1992-11-01,355924
1992-12-01,361903
1993-01-01,360650
1993-02-01,359533
1993-03-01,362723
1993-04-01,368849
1993-05-01,370845
1993-06-01,375841
1993-07-01,379121
1993-08-01,380892
1993-09-01,384705
1993-10-01,388226
1993-11-01,391960
1993-12-01,398638
1994-01-01,397786
1994-02-01,397926
1994-03-01,400752
1994-04-01,406948
1994-05-01,407088
1994-06-01,411591
1994-07-01,415010
1994-08-01,415263
1994-09-01,416866
1994-10-01,418679
1994-11-01,423063
1994-12-01,428489
1995-01-01,426222
1995-02-01,422895
1995-03-01,427727
1995-04-01,433540
1995-05-01,434008
1995-06-01,434846
1995-07-01,435915
1995-08-01,435546
1995-09-01,436332
1995-10-01,436570
1995-11-01,439093
1995-12-01,445840
1996-01-01,441733
1996-02-01,435714
1996-03-01,440455
1996-04-01,443376
1996-05-01,443014
1996-06-01,446423
1996-07-01,449831
1996-08-01,450911
1996-09-01,451954
1996-10-01,452496
1996-11-01,457010
1996-12-01,464955
1997-01-01,462505
1997-02-01,459914
1997-03-01,462300
1997-04-01,465478
1997-05-01,467038
1997-06-01,469816
1997-07-01,473111
1997-08-01,474323
1997-09-01,475441
1997-10-01,477667
1997-11-01,484618
1997-12-01,493078
1998-01-01,491235
1998-02-01,488420
1998-03-01,491007
1998-04-01,494118
1998-05-01,495231
1998-06-01,498108
1998-07-01,502446
1998-08-01,504866
1998-09-01,508591
1998-10-01,512552
1998-11-01,518349
1998-12-01,526435
1999-01-01,527870
1999-02-01,526387
1999-03-01,531013
1999-04-01,535171
1999-05-01,540620
1999-06-01,544016
1999-07-01,548817
1999-08-01,551361
1999-09-01,556828
1999-10-01,564665
1999-11-01,582758
1999-12-01,612499
2000-01-01,601868
2000-02-01,578030
2000-03-01,577105
2000-04-01,578588
2000-05-01,580556
2000-06-01,581960
2000-07-01,584222
2000-08-01,583423
2000-09-01,583752
2000-10-01,585252
2000-11-01,590277
2000-12-01,598305
2001-01-01,598666
2001-02-01,595873
2001-03-01,599106
2001-04-01,601727
2001-05-01,605919
2001-06-01,609096
2001-07-01,615984
2001-08-01,622427
2001-09-01,647223
2001-10-01,635154
2001-11-01,639465
2001-12-01,650775
2002-01-01,653760
2002-02-01,654639
2002-03-01,658956
2002-04-01,663401
2002-05-01,668606
2002-06-01,673966
2002-07-01,679310
2002-08-01,679765
2002-09-01,680397
2002-10-01,681855
2002-11-01,688494
2002-12-01,699216
2003-01-01,699262
2003-02-01,700958
2003-03-01,705269
2003-04-01,709552
2003-05-01,713711
2003-06-01,714979
2003-07-01,717614
2003-08-01,720922
2003-09-01,721062
2003-10-01,724756
2003-11-01,730637
2003-12-01,739408
2004-01-01,736438
2004-02-01,735287
2004-03-01,736780
2004-04-01,741207
2004-05-01,745039
2004-06-01,750697
2004-07-01,757304
2004-08-01,757181
2004-09-01,762233
2004-10-01,763876
2004-11-01,770493
2004-12-01,776279
2005-01-01,775222
2005-02-01,772882
2005-03-01,773481
2005-04-01,775537
2005-05-01,776356
2005-06-01,780669
2005-07-01,782860
2005-08-01,782727
2005-09-01,787943
2005-10-01,787216
2005-11-01,793472
2005-12-01,803124
2006-01-01,804172
2006-02-01,804855
2006-03-01,810146
2006-04-01,809191
2006-05-01,812561
2006-06-01,812366
2006-07-01,811505
2006-08-01,809714
2006-09-01,810401
2006-10-01,809839
2006-11-01,816786
2006-12-01,826731
2007-01-01,822978
2007-02-01,820044
2007-03-01,820914
2007-04-01,822978
2007-05-01,825698
2007-06-01,827158
2007-07-01,828938
2007-08-01,829602
2007-09-01,827418
2007-10-01,829039
2007-11-01,834315
